Temperature	Pressure	Density	Volume	InternalEnergy	Enthalpy	Entropy	Cv	Cp	SoundSpd	Joule-Thomson	Viscosity	Therm.Cond.	Surf.Tension	Density	Volume	InternalEnergy	Enthalpy	Entropy	Cv	Cp	SoundSpd.	Joule-Thomson	Viscosity	Therm.Cond.
403.16	0.27036	51.891	0.019271	9.8388	9.8440	29.450	65.161	76.772	1504.3	-0.15869	212.92	0.68295	0.052930	0.083119	12.031	45.751	49.003	126.58	29.838	40.335	485.97	47.596	13.273	0.027796
408.16	0.31332	51.652	0.019360	10.223	10.229	30.397	64.728	76.955	1495.5	-0.15504	204.46	0.68288	0.051897	0.095446	10.477	45.843	49.125	125.69	30.222	40.960	487.94	45.234	13.446	0.028396
413.16	0.36164	51.408	0.019452	10.608	10.615	31.334	64.302	77.152	1486.2	-0.15125	196.63	0.68252	0.050854	0.10920	9.1575	45.932	49.244	124.83	30.631	41.634	489.82	43.029	13.618	0.029017
418.16	0.41580	51.157	0.019547	10.993	11.002	32.263	63.883	77.365	1476.3	-0.14731	189.36	0.68190	0.049801	0.12450	8.0320	46.019	49.358	123.99	31.064	42.356	491.60	40.965	13.790	0.029659
423.16	0.47629	50.901	0.019646	11.380	11.390	33.182	63.471	77.594	1465.8	-0.14319	182.60	0.68101	0.048739	0.14148	7.0684	46.102	49.469	123.17	31.522	43.128	493.27	39.024	13.962	0.030323
428.16	0.54364	50.639	0.019748	11.768	11.779	34.094	63.067	77.839	1454.8	-0.13890	176.30	0.67987	0.047668	0.16026	6.2400	46.182	49.575	122.37	32.004	43.952	494.84	37.196	14.133	0.031010
433.16	0.61839	50.371	0.019853	12.157	12.170	34.998	62.670	78.103	1443.2	-0.13442	170.42	0.67873	0.046589	0.18098	5.5254	46.259	49.676	121.59	32.509	44.828	496.30	35.470	14.304	0.031722
438.16	0.70111	50.096	0.019962	12.548	12.562	35.894	62.281	78.386	1431.1	-0.12972	164.92	0.67726	0.045500	0.20380	4.9068	46.333	49.773	120.82	33.035	45.758	497.65	33.838	14.475	0.032459
443.16	0.79238	49.816	0.020074	12.939	12.955	36.783	61.900	78.688	1418.5	-0.12480	159.76	0.67551	0.044404	0.22887	4.3693	46.403	49.865	120.07	33.582	46.742	498.89	32.292	14.645	0.033223
448.16	0.89281	49.529	0.020190	13.332	13.350	37.665	61.526	79.012	1405.3	-0.11963	154.92	0.67351	0.043300	0.25635	3.9009	46.468	49.951	119.33	34.149	47.780	500.02	30.827	14.815	0.034014
453.16	1.0030	49.235	0.020311	13.727	13.747	38.541	61.160	79.357	1391.7	-0.11421	150.37	0.67127	0.042188	0.28642	3.4914	46.530	50.032	118.61	34.733	48.876	501.04	29.438	14.986	0.034834
458.16	1.1237	48.936	0.020435	14.123	14.146	39.411	60.801	79.727	1377.5	-0.10849	146.08	0.66879	0.041069	0.31926	3.1322	46.588	50.108	117.90	35.335	50.029	501.94	28.120	15.156	0.035684
463.16	1.2555	48.629	0.020564	14.521	14.547	40.275	60.451	80.122	1362.8	-0.10247	142.03	0.66609	0.039943	0.35507	2.8163	46.642	50.178	117.20	35.953	51.243	502.73	26.871	15.326	0.036565
468.16	1.3991	48.316	0.020697	14.921	14.950	41.133	60.108	80.544	1347.7	-0.096120	138.21	0.66316	0.038811	0.39406	2.5377	46.691	50.241	116.52	36.585	52.519	503.39	25.686	15.496	0.037479
473.16	1.5553	47.995	0.020835	15.322	15.355	41.987	59.773	80.995	1332.0	-0.089407	134.58	0.66001	0.037672	0.43644	2.2913	46.735	50.299	115.84	37.231	53.860	503.92	24.562	15.667	0.038428
478.16	1.7246	47.668	0.020979	15.726	15.762	42.836	59.445	81.477	1315.9	-0.082304	131.13	0.65664	0.036528	0.48245	2.0727	46.775	50.350	115.17	37.891	55.271	504.34	23.496	15.838	0.039414
483.16	1.9081	47.332	0.021127	16.132	16.172	43.680	59.126	81.992	1299.2	-0.074777	127.86	0.65306	0.035378	0.53234	1.8785	46.809	50.394	114.51	38.563	56.757	504.62	22.485	16.009	0.040437
488.16	2.1063	46.989	0.021281	16.540	16.584	44.521	58.814	82.544	1282.1	-0.066788	124.74	0.64926	0.034224	0.58639	1.7053	46.839	50.430	113.86	39.248	58.322	504.76	21.527	16.181	0.041501
493.16	2.3200	46.639	0.021441	16.950	17.000	45.358	58.511	83.135	1264.5	-0.058297	121.76	0.64526	0.033064	0.64488	1.5507	46.862	50.460	113.21	39.945	59.974	504.77	20.618	16.355	0.042608
498.16	2.5502	46.279	0.021608	17.363	17.418	46.192	58.215	83.769	1246.3	-0.049256	118.92	0.64104	0.031901	0.70812	1.4122	46.880	50.481	112.56	40.656	61.720	504.63	19.756	16.529	0.043761
503.16	2.7976	45.911	0.021781	17.778	17.839	47.023	57.928	84.449	1227.7	-0.039614	116.19	0.63662	0.030734	0.77645	1.2879	46.892	50.495	111.92	41.379	63.570	504.35	18.938	16.705	0.044962
508.16	3.0631	45.534	0.021961	18.197	18.264	47.852	57.649	85.181	1208.6	-0.029313	113.57	0.63199	0.029564	0.85023	1.1761	46.897	50.500	111.29	42.116	65.535	503.91	18.162	16.883	0.046216
513.16	3.3475	45.148	0.022149	18.618	18.693	48.678	57.379	85.969	1189.0	-0.018285	111.05	0.62716	0.028391	0.92988	1.0754	46.896	50.496	110.65	42.867	67.627	503.32	17.425	17.062	0.047527
518.16	3.6518	44.751	0.022346	19.043	19.125	49.504	57.117	86.819	1168.9	-0.0064575	108.62	0.62212	0.027217	1.0158	0.98443	46.888	50.483	110.02	43.634	69.862	502.55	16.724	17.245	0.048900
523.16	3.9768	44.345	0.022551	19.472	19.561	50.328	56.865	87.739	1148.2	0.0062563	106.28	0.61688	0.026041	1.1085	0.90210	46.872	50.460	109.39	44.418	72.256	501.62	16.057	17.430	0.050339
528.16	4.3236	43.927	0.022765	19.904	20.002	51.151	56.622	88.736	1127.0	0.019954	104.01	0.61143	0.024864	1.2085	0.82745	46.848	50.426	108.75	45.219	74.830	500.51	15.423	17.618	0.051853
533.16	4.6930	43.497	0.022990	20.340	20.447	51.975	56.390	89.820	1105.3	0.034748	101.81	0.60577	0.023687	1.3164	0.75963	46.816	50.381	108.12	46.040	77.607	499.20	14.818	17.810	0.053450
